country,region,govSeat2016,govSeat2017,govSeats2018,GDP2016,GDP2017,GDP2018,GDPperCap2016,GDPperCap2017,GDPperCap2018,govEduExp2016,govEduExp2017,govEduExp2018
Northern Mariana Islands,East Asia & Pacific,..,..,..,1250000000,1593000000,..,22246.7430768136,28163.7848732364,..,..,..,..
Norway,Europe & Central Asia,39.6,39.6,41.4,371344761904.762,399488897844.046,434750937596.065,70941.5252680833,75704.2486981247,81807.198038676,..,..,..
OECD members,,28.0929506854921,29.0524101934295,29.715587820125,47774577522532.4,49785139926010.5,52599426237174.8,37070.560613065,38407.7692808778,40351.5440292243,..,..,..
Oman,Middle East & North Africa,1.2,1.2,1.2,65941482444.7334,70783875162.5488,79294928478.5436,14721.6473328796,15170.3517435517,16418.9269283158,6.10957002639771,6.67393016815186,..
Other small states,,18.7921822272216,19.0819250139899,19.5439200444198,366455822163.981,404664548115.563,451600134482.403,12404.2014376453,13422.2439405735,14681.8913483276,..,..,..
Pacific island small states,,5.93126684636119,7.00296495956873,7.5244623655914,9280440561.9027,9883385373.76577,10302802236.0798,3885.78208827538,4080.52619674354,4192.61845547684,..,..,..
Pakistan,South Asia,20.6,20.6,20.6,278654637737.69,304951818494.066,312570060548.453,1368.45432627629,1466.84309577722,1472.89313366943,2.49180006980896,2.76047992706299,..
Palau,East Asia & Pacific,0,12.5,12.5,303984500,289823500,310111145,17150.0423131171,16274.9045372866,17317.872619646,..,..,..
Panama,Latin America & Caribbean,18.3,18.3,18.3,57957600000,62283800000,65055100000,14356.3240541798,15166.124432066,15575.0725482915,..,..,..
Papua New Guinea,East Asia & Pacific,2.7,0,0,20759048834.9824,22277692408.8879,23431596214.0081,2509.62900700485,2640.153572462,2722.60467940151,..,..,..
Paraguay,Latin America & Caribbean,15,13.8,15,36054281572.3981,39008900331.6733,40842341774.2489,5319.41021789703,5680.58076826353,5871.46706441738,4.52037000656128,..,..
Peru,Latin America & Caribbean,27.7,27.7,27.7,191907499037.066,210702303186.432,222237570741.8,6205.37090038145,6700.81138040492,6947.2566270938,3.81826996803284,3.92395997047424,..
Philippines,East Asia & Pacific,29.8,29.5,29.5,304897590205.413,313619747740.186,330910343610.956,2941.21203999356,2981.93415144162,3102.71336329931,..,..,..
Portugal,Europe & Central Asia,34.8,34.8,34.8,206275669201.916,219308125506.737,237978936954.963,19977.3984908279,21291.430881308,23145.7348414564,..,..,..
